dancer_id,role,dance,level,total_points,update_date
231,Follower,West Coast Swing,Master,249,2024-02-18
231,Follower,West Coast Swing,Master,251,2024-03-09
396,Leader,West Coast Swing,Master,5,2024-02-18
396,Leader,West Coast Swing,Master,6,2024-03-09
764,Leader,West Coast Swing,Champion,371,2024-02-18
764,Leader,West Coast Swing,Champion,373,2024-03-09
1054,Follower,West Coast Swing,Master,151,2024-02-18
1054,Follower,West Coast Swing,Master,155,2024-03-09
1420,Leader,West Coast Swing,Master,20,2024-02-18
1420,Leader,West Coast Swing,Master,30,2024-03-09
1629,Leader,West Coast Swing,Master,9,2024-02-18
1629,Leader,West Coast Swing,Master,15,2024-03-09
1629,Leader,West Coast Swing,Sophisticated,10,2024-02-18
1629,Leader,West Coast Swing,Sophisticated,11,2024-03-09
1659,Leader,West Coast Swing,Master,531,2024-02-18
1659,Leader,West Coast Swing,Master,539,2024-03-09
2256,Leader,West Coast Swing,Master,1,2024-03-09
2495,Follower,West Coast Swing,Sophisticated,51,2024-02-18
2495,Follower,West Coast Swing,Sophisticated,66,2024-03-09
2894,Leader,West Coast Swing,Master,437,2024-02-18
2894,Leader,West Coast Swing,Master,439,2024-03-09
2895,Follower,West Coast Swing,Intermediate,14,2024-02-18
2895,Follower,West Coast Swing,Intermediate,16,2024-03-09
3125,Leader,West Coast Swing,Champion,659,2024-02-18
3125,Leader,West Coast Swing,Champion,665,2024-03-09
3805,Follower,West Coast Swing,Champion,76,2024-02-18
3805,Follower,West Coast Swing,Champion,80,2024-03-09
3897,Follower,West Coast Swing,Master,121,2024-02-18
3897,Follower,West Coast Swing,Master,131,2024-03-09
3987,Follower,West Coast Swing,Master,10,2024-02-18
4033,Follower,West Coast Swing,Sophisticated,32,2024-02-18
4033,Follower,West Coast Swing,Sophisticated,33,2024-03-09
4152,Leader,West Coast Swing,Champion,82,2024-02-18
4152,Leader,West Coast Swing,Champion,83,2024-03-09
4295,Follower,West Coast Swing,Master,56,2024-02-18
4295,Follower,West Coast Swing,Master,59,2024-03-09
4439,Follower,West Coast Swing,Master,122,2024-02-18
4439,Follower,West Coast Swing,Master,125,2024-03-09
4689,Leader,West Coast Swing,Sophisticated,1,2024-02-18
4689,Leader,West Coast Swing,Sophisticated,5,2024-03-09
4717,Leader,West Coast Swing,Master,1,2024-02-18
4717,Leader,West Coast Swing,Master,2,2024-03-09
4754,Leader,West Coast Swing,Master,89,2024-02-18
4754,Leader,West Coast Swing,Master,91,2024-03-09
4877,Leader,West Coast Swing,Master,4,2024-02-18
4877,Leader,West Coast Swing,Master,8,2024-03-09
4898,Leader,West Coast Swing,Sophisticated,8,2024-02-18
4898,Leader,West Coast Swing,Sophisticated,14,2024-03-09
4985,Leader,West Coast Swing,Master,5,2024-02-18
4985,Leader,West Coast Swing,Master,6,2024-03-09
5103,Leader,West Coast Swing,Champion,65,2024-02-18
5103,Leader,West Coast Swing,Champion,66,2024-03-09
5170,Leader,West Coast Swing,Master,640,2024-02-18
5170,Leader,West Coast Swing,Master,646,2024-03-09
5178,Follower,West Coast Swing,Champion,46,2024-02-18
5178,Follower,West Coast Swing,Champion,49,2024-03-09
5372,Follower,West Coast Swing,Champion,74,2024-02-18
5372,Follower,West Coast Swing,Champion,75,2024-03-09
5421,Leader,West Coast Swing,Champion,176,2024-02-18
5421,Leader,West Coast Swing,Champion,177,2024-03-09
5521,Leader,West Coast Swing,Master,111,2024-02-18
5521,Leader,West Coast Swing,Master,115,2024-03-09
5676,Leader,West Coast Swing,Intermediate,29,2024-02-18
5676,Leader,West Coast Swing,Intermediate,30,2024-03-09
5812,Leader,West Coast Swing,Master,89,2024-02-18
5812,Leader,West Coast Swing,Master,103,2024-03-09
5828,Leader,West Coast Swing,Sophisticated,1,2024-03-09
5861,Follower,West Coast Swing,Sophisticated,39,2024-02-18
5861,Follower,West Coast Swing,Sophisticated,40,2024-03-09
6228,Follower,West Coast Swing,Advanced,49,2024-02-18
6228,Follower,West Coast Swing,Advanced,59,2024-03-09
6228,Follower,West Coast Swing,Sophisticated,5,2024-02-18
6228,Follower,West Coast Swing,Sophisticated,13,2024-03-09
6448,Leader,West Coast Swing,Master,71,2024-02-18
6448,Leader,West Coast Swing,Master,79,2024-03-09
6477,Follower,West Coast Swing,Advanced,44,2024-02-18
6477,Follower,West Coast Swing,Advanced,46,2024-03-09
6581,Follower,West Coast Swing,Champion,149,2024-02-18
6581,Follower,West Coast Swing,Champion,155,2024-03-09
6616,Follower,West Coast Swing,Master,655,2024-02-18
6616,Follower,West Coast Swing,Master,657,2024-03-09
6616,Follower,West Coast Swing,Sophisticated,25,2024-02-18
6616,Follower,West Coast Swing,Sophisticated,26,2024-03-09
6761,Follower,West Coast Swing,Champion,184,2024-02-18
6761,Follower,West Coast Swing,Champion,187,2024-03-09
6851,Leader,West Coast Swing,Sophisticated,17,2024-02-18
6851,Leader,West Coast Swing,Sophisticated,25,2024-03-09
6894,Leader,West Coast Swing,Sophisticated,2,2024-03-09
6916,Follower,West Coast Swing,Sophisticated,26,2024-02-18
6916,Follower,West Coast Swing,Sophisticated,36,2024-03-09
7039,Leader,West Coast Swing,All-Star,43,2024-02-18
7039,Leader,West Coast Swing,All-Star,45,2024-03-09
7124,Leader,West Coast Swing,All-Star,159,2024-02-18
7124,Leader,West Coast Swing,All-Star,161,2024-03-09
7225,Leader,West Coast Swing,Advanced,7,2024-02-18
7225,Leader,West Coast Swing,Advanced,9,2024-03-09
7258,Leader,West Coast Swing,All-Star,163,2024-02-18
7258,Leader,West Coast Swing,All-Star,164,2024-03-09
7305,Leader,West Coast Swing,All-Star,157,2024-02-18
7305,Leader,West Coast Swing,All-Star,158,2024-03-09
7310,Follower,West Coast Swing,Sophisticated,8,2024-02-18
7310,Follower,West Coast Swing,Sophisticated,12,2024-03-09
7332,Follower,West Coast Swing,Novice,3,2024-02-18
7332,Follower,West Coast Swing,Novice,5,2024-03-09
7361,Leader,West Coast Swing,All-Star,150,2024-02-18
7361,Leader,West Coast Swing,All-Star,160,2024-03-09
7394,Follower,West Coast Swing,Advanced,57,2024-02-18
7394,Follower,West Coast Swing,Advanced,58,2024-03-09
7498,Leader,West Coast Swing,Master,399,2024-02-18
7498,Leader,West Coast Swing,Master,401,2024-03-09
7513,Follower,West Coast Swing,Intermediate,2,2024-02-18
7513,Follower,West Coast Swing,Intermediate,8,2024-03-09
7562,Leader,West Coast Swing,Master,3,2024-02-18
7562,Follower,West Coast Swing,Master,42,2024-02-18
7562,Follower,West Coast Swing,Master,45,2024-03-09
7576,Leader,West Coast Swing,Sophisticated,15,2024-02-18
7576,Leader,West Coast Swing,Sophisticated,25,2024-03-09
7646,Follower,West Coast Swing,All-Star,132,2024-02-18
7646,Follower,West Coast Swing,All-Star,135,2024-03-09
7652,Leader,West Coast Swing,Sophisticated,1,2024-02-18
7652,Leader,West Coast Swing,Sophisticated,5,2024-03-09
7841,Follower,West Coast Swing,Master,301,2024-02-18
7841,Follower,West Coast Swing,Master,305,2024-03-09
7844,Leader,West Coast Swing,Sophisticated,14,2024-02-18
7844,Leader,West Coast Swing,Sophisticated,15,2024-03-09
7856,Leader,West Coast Swing,Intermediate,8,2024-03-09
7857,Follower,West Coast Swing,Champion,20,2024-02-18
7857,Follower,West Coast Swing,Champion,21,2024-03-09
7909,Follower,West Coast Swing,Master,194,2024-02-18
7909,Follower,West Coast Swing,Master,200,2024-03-09
7918,Leader,West Coast Swing,All-Star,172,2024-02-18
7918,Leader,West Coast Swing,All-Star,177,2024-03-09
8004,Follower,West Coast Swing,Champion,29,2024-02-18
8004,Follower,West Coast Swing,Champion,31,2024-03-09
8129,Follower,West Coast Swing,Sophisticated,17,2024-02-18
8129,Follower,West Coast Swing,Sophisticated,29,2024-03-09
8194,Leader,West Coast Swing,Intermediate,3,2024-02-18
8194,Leader,West Coast Swing,Intermediate,4,2024-03-09
8270,Leader,West Coast Swing,Novice,7,2024-02-18
8270,Leader,West Coast Swing,Novice,8,2024-03-09
8282,Follower,West Coast Swing,All-Star,82,2024-02-18
8282,Follower,West Coast Swing,All-Star,84,2024-03-09
8344,Follower,West Coast Swing,Advanced,13,2024-02-18
8344,Follower,West Coast Swing,Advanced,15,2024-03-09
8513,Leader,West Coast Swing,Sophisticated,1,2024-02-18
8513,Leader,West Coast Swing,Sophisticated,2,2024-03-09
8557,Leader,West Coast Swing,Advanced,28,2024-02-18
8557,Leader,West Coast Swing,Advanced,38,2024-03-09
8593,Follower,West Coast Swing,Sophisticated,14,2024-02-18
8593,Follower,West Coast Swing,Sophisticated,15,2024-03-09
