dancer_id,dancer_name,dominate_role,dominate_required,dominate_allowed,non_dominate_role,non_dominate_required,non_dominate_allowed,update_date,non_dominate_role_highest_level_points,non_dominate_role_highest_level,non_dominate_recommended
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,Novice,Novice,2025-04-30,,,
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,,,2025-05-08,,,
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,Novice,Novice,2025-05-16,,,
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,Novice,Novice,2025-05-17,,,Novice
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,Novice,Novice,2026-06-23,N/A,N/A,Novice
1,Diane Abele,Follower,Intermediate,Intermediate,Leader,Novice,Novice,2026-06-28,,,Novice
2,Ellie Abrahams,Follower,Newcomer,Novice,Leader,Newcomer,Novice,2025-04-30,,,
2,Ellie Abrahams,Follower,Newcomer,Novice,Leader,,,2025-05-08,,,
2,Ellie Abrahams,Follower,Newcomer,Novice,Leader,n/a,n/a,2026-06-23,N/A,N/A,n/a
2,Ellie Abrahams,Follower,Newcomer,Novice,Leader,nan,nan,2026-06-28,,,
3,Nathan Absher,Follower,Newcomer,Novice,Leader,Newcomer,Novice,2025-04-30,,,
3,Nathan Absher,Follower,Newcomer,Novice,Leader,,,2025-05-08,,,
3,Nathan Absher,Follower,Newcomer,Novice,Leader,n/a,n/a,2026-06-23,N/A,N/A,n/a
3,Nathan Absher,Follower,Newcomer,Novice,Leader,nan,nan,2026-06-28,,,
4,James Adair,Leader,Advanced,Advanced,Follower,Intermediate,Intermediate,2025-01-08,,,
4,James Adair,Leader,Advanced,Advanced,Follower,Novice,Novice,2025-01-14,,,
4,James Adair,Leader,Advanced,Advanced,Follower,,,2025-05-08,,,
4,James Adair,Leader,Advanced,Advanced,Follower,,Novice,2025-05-16,,,
4,James Adair,Leader,Advanced,Advanced,Follower,,Novice,2025-05-17,,,Intermediate
4,James Adair,Leader,Advanced,Advanced,Follower,,Novice,2026-06-23,N/A,N/A,Intermediate
4,James Adair,Leader,Advanced,Advanced,Follower,nan,Novice,2026-06-28,,,Intermediate
5,Jodee Adair,Follower,Professional,Professional,Leader,Champion,Champion,2024-09-06,,,
5,Jodee Adair,Follower,Advanced,Advanced,Leader,Intermediate,Intermediate,2024-09-11,,,
5,Jodee Adair,Follower,Advanced,Advanced,Leader,Novice,Novice,2025-01-14,,,
5,Jodee Adair,Follower,Advanced,Advanced,Leader,,,2025-05-08,,,
5,Jodee Adair,Follower,Advanced,Advanced,Leader,,Novice,2025-05-16,,,
5,Jodee Adair,Follower,Advanced,Advanced,Leader,,Novice,2025-05-17,,,Intermediate
5,Jodee Adair,Follower,Advanced,Advanced,Leader,,Novice,2026-06-23,N/A,N/A,Intermediate
5,Jodee Adair,Follower,Advanced,Advanced,Leader,nan,Novice,2026-06-28,,,Intermediate
6,Michele Adams,Follower,Champion,Champion,Leader,All-Star,All-Star,2025-01-08,,,
6,Michele Adams,Follower,Champion,Champion,Leader,Advanced,Advanced,2025-01-14,,,
6,Michele Adams,Follower,Champion,Champion,Leader,,,2025-05-08,,,
6,Michele Adams,Follower,Champion,Champion,Leader,,Advanced,2025-05-16,,,
6,Michele Adams,Follower,Champion,Champion,Leader,,Advanced,2025-05-17,,,All-Star
6,Michele Adams,Follower,Champion,Champion,Leader,,Advanced,2026-06-23,N/A,N/A,All-Star
6,Michele Adams,Follower,Champion,Champion,Leader,nan,Advanced,2026-06-28,,,All-Star
7,Phil Adams,Leader,Champion,Champion,Follower,All-Star,All-Star,2025-01-08,,,
7,Phil Adams,Leader,Champion,Champion,Follower,Advanced,Advanced,2025-01-14,,,
7,Phil Adams,Leader,Champion,Champion,Follower,,,2025-05-08,,,
7,Phil Adams,Leader,Champion,Champion,Follower,,Advanced,2025-05-16,,,
7,Phil Adams,Leader,Champion,Champion,Follower,,Advanced,2025-05-17,,,All-Star
7,Phil Adams,Leader,Champion,Champion,Follower,,Advanced,2026-06-23,N/A,N/A,All-Star
7,Phil Adams,Leader,Champion,Champion,Follower,nan,Advanced,2026-06-28,,,All-Star
8,Steve Ahl,Follower,Newcomer,Novice,Leader,Newcomer,Novice,2025-04-30,,,
8,Steve Ahl,Follower,Newcomer,Novice,Leader,,,2025-05-08,,,
8,Steve Ahl,Follower,Newcomer,Novice,Leader,n/a,n/a,2026-06-23,N/A,N/A,n/a
8,Steve Ahl,Follower,Newcomer,Novice,Leader,nan,nan,2026-06-28,,,
9,Randy Albers,Follower,Newcomer,Novice,Leader,Newcomer,Novice,2025-04-30,,,
9,Randy Albers,Follower,Newcomer,Novice,Leader,,,2025-05-08,,,
9,Randy Albers,Follower,Newcomer,Novice,Leader,n/a,n/a,2026-06-23,N/A,N/A,n/a
9,Randy Albers,Follower,Newcomer,Novice,Leader,nan,nan,2026-06-28,,,
10,Jack Alberti,Follower,Newcomer,Novice,Leader,Newcomer,Novice,2025-04-30,,,
10,Jack Alberti,Follower,Newcomer,Novice,Leader,,,2025-05-08,,,
10,Jack Alberti,Follower,Newcomer,Novice,Leader,n/a,n/a,2026-06-23,N/A,N/A,n/a
10,Jack Alberti,Follower,Newcomer,Novice,Leader,nan,nan,2026-06-28,,,
12,Steve Allard,Leader,Intermediate,Intermediate,Follower,Novice,Novice,2025-04-30,,,
12,Steve Allard,Leader,Intermediate,Intermediate,Follower,,,2025-05-08,,,
12,Steve Allard,Leader,Intermediate,Intermediate,Follower,Novice,Novice,2025-05-16,,,
