dancer_id,event_dance,event_competition,event_role,event_result,event_points,event_name,location_id,event_year,event_month,event_year_and_month,event_result_standardized,event_location
2,West Coast Swing,Master,follower,F,1,4TH of July Convention,3,2003,7,2003-07-01,Final,
2,West Coast Swing,Master,follower,1,10,4TH of July Convention,3,1998,7,1998-07-01,1,
2,West Coast Swing,Master,follower,4,3,4TH of July Convention,3,1996,7,1996-07-01,4,
7,West Coast Swing,Champion,leader,3,3,World Swing Dance Championships,14,2010,5,2010-05-01,3,
7,West Coast Swing,Champion,leader,2,6,Los Angeles Premiere Dance Classic,22,2005,4,2005-04-01,2,
7,West Coast Swing,Champion,leader,5,2,Palm Springs Summer Dance Classic,20,2003,9,2003-09-01,5,
7,West Coast Swing,Champion,leader,4,3,Summer Dance Festival,20,2003,7,2003-07-01,4,
7,West Coast Swing,Invitational,leader,2,0,Palm Springs Summer Dance Classic,20,2006,9,2006-09-01,2,
7,West Coast Swing,Invitational,leader,1,10,World Swing Dance Championships,14,2005,5,2005-05-01,1,
7,West Coast Swing,Invitational,leader,2,6,Palm Springs Summer Dance Classic,20,2004,9,2004-09-01,2,
7,West Coast Swing,Invitational,leader,5,2,J&J O'Rama,23,2004,6,2004-06-01,5,
7,West Coast Swing,Invitational,leader,5,2,FreZno Dance Classic,5,2004,5,2004-05-01,5,
7,West Coast Swing,All-Star,leader,1,5,High Desert Dance Classic,18,2011,3,2011-03-01,1,
7,West Coast Swing,All-Star,leader,F,1,FreZno Dance Classic,5,2010,5,2010-05-01,Final,
7,West Coast Swing,All-Star,leader,F,1,FreZno Dance Classic,5,2007,5,2007-05-01,Final,
7,West Coast Swing,Professional,leader,1,10,Country Boogie,15,1999,2,1999-02-01,1,
7,West Coast Swing,Professional,leader,F,1,FreZno Dance Classic,5,1998,5,1998-05-01,Final,
1,West Coast Swing,Intermediate,follower,3,0,Monterey SwingFest,1,1997,1,1997-01-01,3,
1,West Coast Swing,Novice,follower,4,3,Boogie By The Bay,2,1994,10,1994-10-01,4,
1,West Coast Swing,Newcomer,follower,3,4,4TH of July Convention,3,1993,7,1993-07-01,3,
4,West Coast Swing,Advanced,leader,F,1,Monterey SwingFest,1,2000,1,2000-01-01,Final,
4,West Coast Swing,Advanced,leader,1,10,Portland Dance Festival,4,1997,6,1997-06-01,1,
4,West Coast Swing,Juniors,leader,3,0,FreZno Dance Classic,5,1998,5,1998-05-01,3,
4,West Coast Swing,Juniors,leader,1,0,Capital Swing Dance Convention,6,1998,2,1998-02-01,1,
6,West Coast Swing,Champion,follower,1,10,California State Championships,15,1999,5,1999-05-01,1,
6,West Coast Swing,Invitational,follower,3,4,South Bay Dance Fling,16,2004,8,2004-08-01,3,
6,West Coast Swing,Advanced,follower,4,2,Arizona Dance Classic,3,2016,7,2016-07-01,4,
6,West Coast Swing,Master,follower,1,10,High Desert Dance Classic,18,2026,3,2026-03-01,1,
6,West Coast Swing,Master,follower,F,1,Paradise Dance Festival,19,2025,10,2025-10-01,Final,
6,West Coast Swing,Professional,follower,F,1,Arizona Dance Classic,3,2002,8,2002-08-01,Final,
6,West Coast Swing,Professional,follower,3,4,Summer Dance Festival,20,2001,7,2001-07-01,3,
6,West Coast Swing,Professional,follower,F,1,FreZno Dance Classic,5,1998,5,1998-05-01,Final,
6,West Coast Swing,Professional,follower,3,4,Golden State Classic,15,1998,4,1998-04-01,3,
6,West Coast Swing,Professional,follower,4,3,Labor Day Swing Dance Festival,15,1997,9,1997-09-01,4,
6,West Coast Swing,Professional,follower,F,1,Golden State Classic,15,1997,4,1997-04-01,Final,
6,West Coast Swing,Professional,follower,3,4,Country Boogie,15,1997,2,1997-02-01,3,
6,West Coast Swing,Professional,follower,3,4,Labor Day Swing Dance Festival,15,1996,9,1996-09-01,3,
6,West Coast Swing,Professional,follower,2,0,Country Boogie,15,1996,2,1996-02-01,2,
6,West Coast Swing,Professional,follower,4,3,UCWDC Country Dance World Championship,21,1995,12,1995-12-01,4,
6,West Coast Swing,Professional,follower,2,6,Summer Dance Festival,20,1995,7,1995-07-01,2,
6,West Coast Swing,Professional,follower,3,4,FreZno Dance Classic,5,1995,5,1995-05-01,3,
6,West Coast Swing,Professional,follower,2,6,Labor Day Swing Dance Festival,15,1994,9,1994-09-01,2,
6,West Coast Swing,Professional,follower,3,4,Country Boogie,15,1994,2,1994-02-01,3,
5,West Coast Swing,Advanced,follower,F,1,American Swing Dance Championships,7,1998,10,1998-10-01,Final,
5,West Coast Swing,Advanced,follower,F,1,Boston Tea Party,8,1998,3,1998-03-01,Final,
5,West Coast Swing,Advanced,follower,2,6,Swing Challenge,9,1997,8,1997-08-01,2,
5,West Coast Swing,Advanced,follower,2,6,Spring Fling,10,1997,5,1997-05-01,2,
5,West Coast Swing,Advanced,follower,3,4,Boston Tea Party,8,1997,3,1997-03-01,3,
5,West Coast Swing,Advanced,follower,3,4,New England Swing Jam 1,8,1996,11,1996-11-01,3,
5,West Coast Swing,Advanced,follower,F,1,American Swing Dance Championships,7,1996,10,1996-10-01,Final,
5,West Coast Swing,Advanced,follower,2,6,Michigan Swing Dance Champs,12,1996,8,1996-08-01,2,
5,West Coast Swing,Advanced,follower,5,2,Swing Challenge,9,1996,8,1996-08-01,5,
5,West Coast Swing,Advanced,follower,5,2,Swing Fling,38,1995,7,1995-07-01,5,"Herndon, VA, United States"
5,West Coast Swing,Advanced,follower,2,6,World Swing Dance Championships,14,1993,5,1993-05-01,2,
5,West Coast Swing,Professional,follower,5,2,American Swing Dance Championships,7,1995,10,1995-10-01,5,
5,West Coast Swing,Professional,follower,1,10,Labor Day Swing Dance Festival,15,1995,9,1995-09-01,1,
12,West Coast Swing,Intermediate,leader,4,3,Labor Day Swing Dance Festival,15,1996,9,1996-09-01,4,
12,West Coast Swing,Novice,leader,3,4,Halloween SwingThing,24,1996,10,1996-10-01,3,
15,West Coast Swing,Advanced,leader,5,2,Michigan Swing Dance Champs,12,1994,8,1994-08-01,5,
13,West Coast Swing,Advanced,leader,F,1,USA Grand Nationals,25,1999,5,1999-05-01,Final,
13,West Coast Swing,Advanced,leader,5,2,Dallas D.A.N.C.E.,21,1994,9,1994-09-01,5,
13,West Coast Swing,Advanced,leader,3,4,Dallas D.A.N.C.E.,21,1992,9,1992-09-01,3,
14,West Coast Swing,Master,leader,2,6,4TH of July Convention,3,1996,7,1996-07-01,2,
16,West Coast Swing,Novice,leader,3,4,Paradise Dance Festival,19,1996,10,1996-10-01,3,
17,West Coast Swing,Novice,leader,1,10,Las Vegas Swing Expo,27,1996,1,1996-01-01,1,
17,West Coast Swing,Master,leader,4,3,Capital Swing Dance Convention,6,2000,2,2000-02-01,4,
18,West Coast Swing,Novice,follower,1,10,Capital Swing Dance Convention,6,1996,2,1996-02-01,1,
19,West Coast Swing,Advanced,follower,3,4,Country Boogie,15,1998,2,1998-02-01,3,
19,West Coast Swing,Advanced,follower,1,10,Capital Swing Dance Convention,6,1995,2,1995-02-01,1,
19,West Coast Swing,Novice,follower,1,10,4TH of July Convention,3,1994,7,1994-07-01,1,
20,West Coast Swing,Master,leader,3,4,Mountain Magic,28,2002,11,2002-11-01,3,
20,West Coast Swing,Master,leader,5,0,J&J O'Rama,23,1997,6,1997-06-01,5,
20,West Coast Swing,Master,leader,5,2,J&J O'Rama,23,1997,6,1997-06-01,5,
20,West Coast Swing,Master,leader,1,10,4TH of July Convention,3,1996,7,1996-07-01,1,
20,West Coast Swing,Master,leader,2,6,4TH of July Convention,3,1995,7,1995-07-01,2,
