update_date,division,role,type_options,count_dancer
2025-01-03,Advanced,Follower,allowed,1971
2025-01-03,Advanced,Follower,required,1845
2025-01-03,Advanced,Leader,allowed,1737
2025-01-03,Advanced,Leader,required,1640
2025-01-03,All-Star,Follower,allowed,643
2025-01-03,All-Star,Follower,required,598
2025-01-03,All-Star,Leader,allowed,609
2025-01-03,All-Star,Leader,required,569
2025-01-03,Champion,Follower,allowed,181
2025-01-03,Champion,Follower,required,87
2025-01-03,Champion,Leader,allowed,179
2025-01-03,Champion,Leader,required,79
2025-01-03,Intermediate,Follower,allowed,4527
2025-01-03,Intermediate,Follower,required,3569
2025-01-03,Intermediate,Leader,allowed,3648
2025-01-03,Intermediate,Leader,required,2923
2025-01-03,Newcomer,Follower,required,10863
2025-01-03,Newcomer,Leader,required,6136
2025-01-03,Novice,Follower,allowed,20662
2025-01-03,Novice,Follower,required,11022
2025-01-03,Novice,Leader,allowed,13303
2025-01-03,Novice,Leader,required,8129
2025-01-08,Advanced,Follower,allowed,1974
2025-01-08,Advanced,Follower,required,1845
2025-01-08,Advanced,Leader,allowed,1739
2025-01-08,Advanced,Leader,required,1641
2025-01-08,All-Star,Follower,allowed,645
2025-01-08,All-Star,Follower,required,599
2025-01-08,All-Star,Leader,allowed,611
2025-01-08,All-Star,Leader,required,570
2025-01-08,Champion,Follower,allowed,181
2025-01-08,Champion,Follower,required,87
2025-01-08,Champion,Leader,allowed,180
2025-01-08,Champion,Leader,required,79
2025-01-08,Intermediate,Follower,allowed,4536
2025-01-08,Intermediate,Follower,required,3574
2025-01-08,Intermediate,Leader,allowed,3651
2025-01-08,Intermediate,Leader,required,2924
2025-01-08,Newcomer,Follower,required,10884
2025-01-08,Newcomer,Leader,required,6148
2025-01-08,Novice,Follower,allowed,20702
2025-01-08,Novice,Follower,required,11049
2025-01-08,Novice,Leader,allowed,13327
2025-01-08,Novice,Leader,required,8146
2025-01-14,Advanced,Follower,allowed,1708
2025-01-14,Advanced,Follower,required,1439
2025-01-14,Advanced,Leader,allowed,1505
2025-01-14,Advanced,Leader,required,1254
2025-01-14,All-Star,Follower,allowed,471
2025-01-14,All-Star,Follower,required,516
2025-01-14,All-Star,Leader,allowed,438
2025-01-14,All-Star,Leader,required,493
2025-01-14,Champion,Follower,allowed,181
2025-01-14,Champion,Follower,required,87
2025-01-14,Champion,Leader,allowed,180
2025-01-14,Champion,Leader,required,80
2025-01-14,Intermediate,Follower,allowed,3471
2025-01-14,Intermediate,Follower,required,2797
2025-01-14,Intermediate,Leader,allowed,2740
2025-01-14,Intermediate,Leader,required,2263
2025-01-14,Newcomer,Follower,required,10889
2025-01-14,Newcomer,Leader,required,6152
2025-01-14,Novice,Follower,allowed,22225
2025-01-14,Novice,Follower,required,12328
2025-01-14,Novice,Leader,allowed,14659
2025-01-14,Novice,Leader,required,9280
2025-01-23,Advanced,Follower,allowed,1712
2025-01-23,Advanced,Follower,required,1444
2025-01-23,Advanced,Leader,allowed,1508
2025-01-23,Advanced,Leader,required,1252
2025-01-23,All-Star,Follower,allowed,471
2025-01-23,All-Star,Follower,required,516
2025-01-23,All-Star,Leader,allowed,438
2025-01-23,All-Star,Leader,required,495
2025-01-23,Champion,Follower,allowed,181
2025-01-23,Champion,Follower,required,87
2025-01-23,Champion,Leader,allowed,181
2025-01-23,Champion,Leader,required,80
2025-01-23,Intermediate,Follower,allowed,3477
2025-01-23,Intermediate,Follower,required,2796
2025-01-23,Intermediate,Leader,allowed,2742
2025-01-23,Intermediate,Leader,required,2274
2025-01-23,Newcomer,Follower,required,10904
2025-01-23,Newcomer,Leader,required,6155
2025-01-23,Novice,Follower,allowed,22261
2025-01-23,Novice,Follower,required,12355
2025-01-23,Novice,Leader,allowed,14677
2025-01-23,Novice,Leader,required,9290
2025-01-29,Advanced,Follower,allowed,1713
2025-01-29,Advanced,Follower,required,1444
2025-01-29,Advanced,Leader,allowed,1510
2025-01-29,Advanced,Leader,required,1253
2025-01-29,All-Star,Follower,allowed,471
2025-01-29,All-Star,Follower,required,519
2025-01-29,All-Star,Leader,allowed,439
2025-01-29,All-Star,Leader,required,495
2025-01-29,Champion,Follower,allowed,181
2025-01-29,Champion,Follower,required,87
2025-01-29,Champion,Leader,allowed,181
2025-01-29,Champion,Leader,required,80
2025-01-29,Intermediate,Follower,allowed,3486
2025-01-29,Intermediate,Follower,required,2801
2025-01-29,Intermediate,Leader,allowed,2745
2025-01-29,Intermediate,Leader,required,2275
2025-01-29,Newcomer,Follower,required,10924
2025-01-29,Newcomer,Leader,required,6166
2025-01-29,Novice,Follower,allowed,22305
2025-01-29,Novice,Follower,required,12381
2025-01-29,Novice,Leader,allowed,14697
2025-01-29,Novice,Leader,required,9303
2025-02-03,Advanced,Follower,allowed,1719
2025-02-03,Advanced,Follower,required,1446
2025-02-03,Advanced,Leader,allowed,1514
2025-02-03,Advanced,Leader,required,1256
2025-02-03,All-Star,Follower,allowed,470
2025-02-03,All-Star,Follower,required,519
2025-02-03,All-Star,Leader,allowed,439
2025-02-03,All-Star,Leader,required,496
2025-02-03,Champion,Follower,allowed,183
2025-02-03,Champion,Follower,required,87
2025-02-03,Champion,Leader,allowed,181
2025-02-03,Champion,Leader,required,80
2025-02-03,Intermediate,Follower,allowed,3491
2025-02-03,Intermediate,Follower,required,2806
2025-02-03,Intermediate,Leader,allowed,2748
2025-02-03,Intermediate,Leader,required,2276
2025-02-03,Newcomer,Follower,required,10949
2025-02-03,Newcomer,Leader,required,6193
2025-02-03,Novice,Follower,allowed,22357
2025-02-03,Novice,Follower,required,12413
2025-02-03,Novice,Leader,allowed,14756
2025-02-03,Novice,Leader,required,9337
2025-02-11,Advanced,Follower,allowed,1720
2025-02-11,Advanced,Follower,required,1443
2025-02-11,Advanced,Leader,allowed,1516
2025-02-11,Advanced,Leader,required,1258
2025-02-11,All-Star,Follower,allowed,470
2025-02-11,All-Star,Follower,required,520
2025-02-11,All-Star,Leader,allowed,439
2025-02-11,All-Star,Leader,required,497
2025-02-11,Champion,Follower,allowed,183
2025-02-11,Champion,Follower,required,87
2025-02-11,Champion,Leader,allowed,181
2025-02-11,Champion,Leader,required,80
2025-02-11,Intermediate,Follower,allowed,3496
