update_date,division,role,type,count_dancer
2025-01-29,Advanced,Follower,allowed,1511
2025-01-29,Advanced,Follower,required,1334
2025-01-29,Advanced,Leader,allowed,1318
2025-01-29,Advanced,Leader,required,1159
2025-01-29,All-Star,Follower,allowed,464
2025-01-29,All-Star,Follower,required,513
2025-01-29,All-Star,Leader,allowed,428
2025-01-29,All-Star,Leader,required,485
2025-01-29,Champion,Follower,allowed,180
2025-01-29,Champion,Follower,required,87
2025-01-29,Champion,Leader,allowed,181
2025-01-29,Champion,Leader,required,80
2025-01-29,Intermediate,Follower,allowed,2927
2025-01-29,Intermediate,Follower,required,2227
2025-01-29,Intermediate,Leader,allowed,2290
2025-01-29,Intermediate,Leader,required,1776
2025-01-29,Newcomer,Follower,required,1403
2025-01-29,Novice,Follower,allowed,8996
2025-01-29,Novice,Follower,required,8514
2025-01-29,Novice,Leader,allowed,5569
2025-01-29,Novice,Leader,required,6286
2025-02-03,Advanced,Follower,allowed,1515
2025-02-03,Advanced,Follower,required,1336
2025-02-03,Advanced,Leader,allowed,1322
2025-02-03,Advanced,Leader,required,1162
2025-02-03,All-Star,Follower,allowed,463
2025-02-03,All-Star,Follower,required,513
2025-02-03,All-Star,Leader,allowed,428
2025-02-03,All-Star,Leader,required,486
2025-02-03,Champion,Follower,allowed,182
2025-02-03,Champion,Follower,required,87
2025-02-03,Champion,Leader,allowed,181
2025-02-03,Champion,Leader,required,80
2025-02-03,Intermediate,Follower,allowed,2933
2025-02-03,Intermediate,Follower,required,2230
2025-02-03,Intermediate,Leader,allowed,2293
2025-02-03,Intermediate,Leader,required,1776
2025-02-03,Newcomer,Follower,required,1403
2025-02-03,Novice,Follower,allowed,9017
2025-02-03,Novice,Follower,required,8541
2025-02-03,Novice,Leader,allowed,5595
2025-02-03,Novice,Leader,required,6315
2025-02-11,Advanced,Follower,allowed,1517
2025-02-11,Advanced,Follower,required,1334
2025-02-11,Advanced,Leader,allowed,1323
2025-02-11,Advanced,Leader,required,1163
2025-02-11,All-Star,Follower,allowed,463
2025-02-11,All-Star,Follower,required,514
2025-02-11,All-Star,Leader,allowed,428
2025-02-11,All-Star,Leader,required,487
2025-02-11,Champion,Follower,allowed,182
2025-02-11,Champion,Follower,required,87
2025-02-11,Champion,Leader,allowed,181
2025-02-11,Champion,Leader,required,80
2025-02-11,Intermediate,Follower,allowed,2935
2025-02-11,Intermediate,Follower,required,2235
2025-02-11,Intermediate,Leader,allowed,2297
2025-02-11,Intermediate,Leader,required,1779
2025-02-11,Newcomer,Follower,required,1404
2025-02-11,Novice,Follower,allowed,9029
2025-02-11,Novice,Follower,required,8552
2025-02-11,Novice,Leader,allowed,5601
2025-02-11,Novice,Leader,required,6321
2025-02-19,Advanced,Follower,allowed,1519
2025-02-19,Advanced,Follower,required,1334
2025-02-19,Advanced,Leader,allowed,1324
2025-02-19,Advanced,Leader,required,1166
2025-02-19,All-Star,Follower,allowed,464
2025-02-19,All-Star,Follower,required,514
2025-02-19,All-Star,Leader,allowed,428
2025-02-19,All-Star,Leader,required,487
2025-02-19,Champion,Follower,allowed,182
2025-02-19,Champion,Follower,required,87
2025-02-19,Champion,Leader,allowed,181
2025-02-19,Champion,Leader,required,80
2025-02-19,Intermediate,Follower,allowed,2943
2025-02-19,Intermediate,Follower,required,2241
2025-02-19,Intermediate,Leader,allowed,2300
2025-02-19,Intermediate,Leader,required,1776
2025-02-19,Newcomer,Follower,required,1404
2025-02-19,Novice,Follower,allowed,9025
2025-02-19,Novice,Follower,required,8553
2025-02-19,Novice,Leader,allowed,5602
2025-02-19,Novice,Leader,required,6326
2025-02-27,Advanced,Follower,allowed,1523
2025-02-27,Advanced,Follower,required,1336
2025-02-27,Advanced,Leader,allowed,1324
2025-02-27,Advanced,Leader,required,1171
2025-02-27,All-Star,Follower,allowed,463
2025-02-27,All-Star,Follower,required,515
2025-02-27,All-Star,Leader,allowed,431
2025-02-27,All-Star,Leader,required,492
2025-02-27,Champion,Follower,allowed,182
2025-02-27,Champion,Follower,required,87
2025-02-27,Champion,Leader,allowed,181
2025-02-27,Champion,Leader,required,80
2025-02-27,Intermediate,Follower,allowed,2948
2025-02-27,Intermediate,Follower,required,2240
2025-02-27,Intermediate,Leader,allowed,2305
2025-02-27,Intermediate,Leader,required,1773
2025-02-27,Newcomer,Follower,required,1406
2025-02-27,Novice,Follower,allowed,9057
2025-02-27,Novice,Follower,required,8589
2025-02-27,Novice,Leader,allowed,5624
2025-02-27,Novice,Leader,required,6349
2025-03-14,Advanced,Follower,allowed,1523
2025-03-14,Advanced,Follower,required,1335
2025-03-14,Advanced,Leader,allowed,1325
2025-03-14,Advanced,Leader,required,1171
2025-03-14,All-Star,Follower,allowed,465
2025-03-14,All-Star,Follower,required,516
2025-03-14,All-Star,Leader,allowed,430
2025-03-14,All-Star,Leader,required,491
2025-03-14,Champion,Follower,allowed,182
2025-03-14,Champion,Follower,required,87
2025-03-14,Champion,Leader,allowed,181
2025-03-14,Champion,Leader,required,80
2025-03-14,Intermediate,Follower,allowed,2948
2025-03-14,Intermediate,Follower,required,2245
2025-03-14,Intermediate,Leader,allowed,2312
2025-03-14,Intermediate,Leader,required,1777
2025-03-14,Newcomer,Follower,required,1406
2025-03-14,Novice,Follower,allowed,9079
2025-03-14,Novice,Follower,required,8608
2025-03-14,Novice,Leader,allowed,5629
2025-03-14,Novice,Leader,required,6358
2025-03-20,Advanced,Follower,allowed,1532
2025-03-20,Advanced,Follower,required,1338
2025-03-20,Advanced,Leader,allowed,1329
2025-03-20,Advanced,Leader,required,1171
2025-03-20,All-Star,Follower,allowed,465
2025-03-20,All-Star,Follower,required,516
2025-03-20,All-Star,Leader,allowed,430
2025-03-20,All-Star,Leader,required,491
2025-03-20,Champion,Follower,allowed,182
2025-03-20,Champion,Follower,required,87
2025-03-20,Champion,Leader,allowed,181
2025-03-20,Champion,Leader,required,81
2025-03-20,Intermediate,Follower,allowed,2948
2025-03-20,Intermediate,Follower,required,2245
2025-03-20,Intermediate,Leader,allowed,2318
2025-03-20,Intermediate,Leader,required,1784
2025-03-20,Newcomer,Follower,required,1405
2025-03-20,Novice,Follower,allowed,9111
2025-03-20,Novice,Follower,required,8647
2025-03-20,Novice,Leader,allowed,5659
2025-03-20,Novice,Leader,required,6390
2025-03-27,Advanced,Follower,allowed,1537
2025-03-27,Advanced,Follower,required,1339
2025-03-27,Advanced,Leader,allowed,1332
2025-03-27,Advanced,Leader,required,1172
2025-03-27,All-Star,Follower,allowed,468
2025-03-27,All-Star,Follower,required,517
2025-03-27,All-Star,Leader,allowed,432
2025-03-27,All-Star,Leader,required,491
2025-03-27,Champion,Follower,allowed,182
2025-03-27,Champion,Follower,required,87
2025-03-27,Champion,Leader,allowed,181
2025-03-27,Champion,Leader,required,81
2025-03-27,Intermediate,Follower,allowed,2955
2025-03-27,Intermediate,Follower,required,2249
2025-03-27,Intermediate,Leader,allowed,2320
2025-03-27,Intermediate,Leader,required,1791
2025-03-27,Newcomer,Follower,required,1405
2025-03-27,Novice,Follower,allowed,9140
2025-03-27,Novice,Follower,required,8685
2025-03-27,Novice,Leader,allowed,5682
2025-03-27,Novice,Leader,required,6412
2025-04-03,Advanced,Follower,allowed,1537
2025-04-03,Advanced,Follower,required,1340
2025-04-03,Advanced,Leader,allowed,1331
2025-04-03,Advanced,Leader,required,1171
2025-04-03,All-Star,Follower,allowed,469
2025-04-03,All-Star,Follower,required,518
2025-04-03,All-Star,Leader,allowed,433
2025-04-03,All-Star,Leader,required,492
2025-04-03,Champion,Follower,allowed,182
2025-04-03,Champion,Follower,required,87
2025-04-03,Champion,Leader,allowed,181
2025-04-03,Champion,Leader,required,81
2025-04-03,Intermediate,Follower,allowed,2963
2025-04-03,Intermediate,Follower,required,2250
2025-04-03,Intermediate,Leader,allowed,2325
2025-04-03,Intermediate,Leader,required,1796
2025-04-03,Newcomer,Follower,required,1406
2025-04-03,Novice,Follower,allowed,9156
2025-04-03,Novice,Follower,required,8706
2025-04-03,Novice,Leader,allowed,5686
2025-04-03,Novice,Leader,required,6416
2025-04-10,Advanced,Follower,allowed,1538
2025-04-10,Advanced,Follower,required,1342
2025-04-10,Advanced,Leader,allowed,1332
2025-04-10,Advanced,Leader,required,1171
2025-04-10,All-Star,Follower,allowed,470
2025-04-10,All-Star,Follower,required,518
2025-04-10,All-Star,Leader,allowed,433
2025-04-10,All-Star,Leader,required,492
2025-04-10,Champion,Follower,allowed,182
2025-04-10,Champion,Follower,required,87
2025-04-10,Champion,Leader,allowed,181
2025-04-10,Champion,Leader,required,81
2025-04-10,Intermediate,Follower,allowed,2964
2025-04-10,Intermediate,Follower,required,2253
2025-04-10,Intermediate,Leader,allowed,2327
2025-04-10,Intermediate,Leader,required,1797
2025-04-10,Newcomer,Follower,required,1406
2025-04-10,Novice,Follower,allowed,9161
2025-04-10,Novice,Follower,required,8709
2025-04-10,Novice,Leader,allowed,5692
2025-04-10,Novice,Leader,required,6424
2025-04-18,Advanced,Follower,allowed,1538
2025-04-18,Advanced,Follower,required,1348
2025-04-18,Advanced,Leader,allowed,1340
2025-04-18,Advanced,Leader,required,1174
2025-04-18,All-Star,Follower,allowed,473
2025-04-18,All-Star,Follower,required,519
2025-04-18,All-Star,Leader,allowed,433
2025-04-18,All-Star,Leader,required,491
2025-04-18,Champion,Follower,allowed,182
2025-04-18,Champion,Follower,required,87
2025-04-18,Champion,Leader,allowed,181
2025-04-18,Champion,Leader,required,82
2025-04-18,Intermediate,Follower,allowed,2972
2025-04-18,Intermediate,Follower,required,2251
2025-04-18,Intermediate,Leader,allowed,2331
2025-04-18,Intermediate,Leader,required,1802
2025-04-18,Newcomer,Follower,required,1408
2025-04-18,Novice,Follower,allowed,9184
2025-04-18,Novice,Follower,required,8736
2025-04-18,Novice,Leader,allowed,5704
2025-04-18,Novice,Leader,required,6440
2025-04-20,Advanced,Follower,allowed,1538
2025-04-20,Advanced,Follower,required,1348
2025-04-20,Advanced,Leader,allowed,1340
2025-04-20,Advanced,Leader,required,1174
2025-04-20,All-Star,Follower,allowed,473
2025-04-20,All-Star,Follower,required,519
2025-04-20,All-Star,Leader,allowed,433
2025-04-20,All-Star,Leader,required,491
2025-04-20,Champion,Follower,allowed,182
2025-04-20,Champion,Follower,required,87
2025-04-20,Champion,Leader,allowed,181
2025-04-20,Champion,Leader,required,82
2025-04-20,Intermediate,Follower,allowed,2972
2025-04-20,Intermediate,Follower,required,2251
2025-04-20,Intermediate,Leader,allowed,2331
2025-04-20,Intermediate,Leader,required,1802
2025-04-20,Newcomer,Follower,required,1408
2025-04-20,Novice,Follower,allowed,9184
