edition_id,event_id,event_name,event_year,event_month,division,dance,leader_tier,follower_tier,leader_status,follower_status,worst_status,leader_scored,follower_scored,est_min_entries,est_max_entries,both_roles_present,range_conflict
895,77,Arizona Dance Classic,2026,8,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
895,77,Arizona Dance Classic,2026,8,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
895,77,Arizona Dance Classic,2026,8,Intermediate,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
895,77,Arizona Dance Classic,2026,8,Master,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
895,77,Arizona Dance Classic,2026,8,Novice,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Intermediate,West Coast Swing,3,3,matched,matched,matched,9,8,40,78,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Newcomer,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Novice,West Coast Swing,3,4,matched,matched,matched,10,11,60,118,t,f
2386,282,German Open,2026,8,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2386,282,German Open,2026,8,All-Star,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2386,282,German Open,2026,8,Champion,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2386,282,German Open,2026,8,Intermediate,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2386,282,German Open,2026,8,Master,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2386,282,German Open,2026,8,Newcomer,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2386,282,German Open,2026,8,Novice,West Coast Swing,5,5,matched,matched,matched,15,15,160,258,t,f
2386,282,German Open,2026,8,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Advanced,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2644,384,Grand Party Sofia (GPS),2026,8,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Master,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Newcomer,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2644,384,Grand Party Sofia (GPS),2026,8,Sophisticated,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2640,382,Lisbon Westie Fest,2026,8,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2640,382,Lisbon Westie Fest,2026,8,All-Star,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
2640,382,Lisbon Westie Fest,2026,8,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2640,382,Lisbon Westie Fest,2026,8,Master,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2640,382,Lisbon Westie Fest,2026,8,Newcomer,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
2640,382,Lisbon Westie Fest,2026,8,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
2640,382,Lisbon Westie Fest,2026,8,Sophisticated,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2654,400,Manneken Swing,2026,8,Advanced,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2654,400,Manneken Swing,2026,8,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2654,400,Manneken Swing,2026,8,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2654,400,Manneken Swing,2026,8,Master,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
2654,400,Manneken Swing,2026,8,Newcomer,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2654,400,Manneken Swing,2026,8,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
2654,400,Manneken Swing,2026,8,Sophisticated,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1529,157,New England Dance Festival,2026,8,Advanced,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
1529,157,New England Dance Festival,2026,8,All-Star,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
1529,157,New England Dance Festival,2026,8,Intermediate,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1529,157,New England Dance Festival,2026,8,Master,West Coast Swing,1,1,matched,matched,matched,3,3,10,20,t,f
1529,157,New England Dance Festival,2026,8,Newcomer,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
1529,157,New England Dance Festival,2026,8,Novice,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
1529,157,New England Dance Festival,2026,8,Sophisticated,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
1571,164,Sea Sun and Swing,2026,8,Advanced,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
1571,164,Sea Sun and Swing,2026,8,All-Star,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
1571,164,Sea Sun and Swing,2026,8,Intermediate,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
1571,164,Sea Sun and Swing,2026,8,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
1571,164,Sea Sun and Swing,2026,8,Newcomer,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
1571,164,Sea Sun and Swing,2026,8,Novice,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
1571,164,Sea Sun and Swing,2026,8,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2461,298,Shakedown Swing,2026,8,Advanced,West Coast Swing,2,1,matched,matched,matched,5,3,16,29,t,f
2461,298,Shakedown Swing,2026,8,Intermediate,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
2461,298,Shakedown Swing,2026,8,Newcomer,West Coast Swing,1,2,matched,matched,matched,3,5,16,29,t,f
2461,298,Shakedown Swing,2026,8,Novice,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
602,53,Summer Hummer,2026,8,Advanced,West Coast Swing,3,3,matched,matched,matched,10,10,40,78,t,f
602,53,Summer Hummer,2026,8,All-Star,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
602,53,Summer Hummer,2026,8,Champion,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
602,53,Summer Hummer,2026,8,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
602,53,Summer Hummer,2026,8,Master,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
602,53,Summer Hummer,2026,8,Newcomer,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
602,53,Summer Hummer,2026,8,Novice,West Coast Swing,4,4,matched,matched,matched,12,12,80,158,t,f
602,53,Summer Hummer,2026,8,Sophisticated,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2282,264,UpTown Swing,2026,8,Advanced,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2282,264,UpTown Swing,2026,8,All-Star,West Coast Swing,2,2,matched,matched,matched,5,5,22,38,t,f
2282,264,UpTown Swing,2026,8,Intermediate,West Coast Swing,3,4,matched,matched,matched,10,12,60,118,t,f
2282,264,UpTown Swing,2026,8,Master,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2282,264,UpTown Swing,2026,8,Newcomer,West Coast Swing,2,3,matched,matched,matched,5,10,31,58,t,f
2282,264,UpTown Swing,2026,8,Novice,West Coast Swing,4,5,matched,matched,matched,12,15,120,208,t,f
