edition_id,event_id,event_name,event_year,event_month,division,role,dance,rules_version,observed_points_1,observed_points_2,observed_points_3,observed_points_4,observed_points_5,finalists,scored_dancers,tier,status,vector_distance,range_basis,rule_min_competitors,rule_max_competitors,est_min_competitors,est_max_competitors,range_conflict,updated_at
895,77,Arizona Dance Classic,2026,8,Advanced,Follower,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Advanced,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,All-Star,Follower,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,All-Star,Leader,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Intermediate,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Intermediate,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Master,Follower,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Master,Leader,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Novice,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
895,77,Arizona Dance Classic,2026,8,Novice,Leader,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Advanced,Follower,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Advanced,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,All-Star,Follower,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,All-Star,Leader,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Intermediate,Follower,West Coast Swing,2026,10,,6,4,2,4,8,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Intermediate,Leader,West Coast Swing,2026,10,8,6,4,2,4,9,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Master,Follower,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Master,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Newcomer,Follower,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Newcomer,Leader,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Novice,Follower,West Coast Swing,2026,15,12,10,8,6,6,11,4,matched,0,per_role,40,79,40,79,f,2026-08-26 20:10:13.151042+00
1176,119,Chicagoland Country and Swing Dance Festival,2026,8,Novice,Leader,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Advanced,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Advanced,Leader,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,All-Star,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,All-Star,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Champion,Follower,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Champion,Leader,West Coast Swing,2026,3,2,1,,,0,3,1,matched,0,per_role,5,10,5,10,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Intermediate,Follower,West Coast Swing,2026,15,12,10,8,6,7,12,4,matched,0,per_role,40,79,40,79,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Intermediate,Leader,West Coast Swing,2026,15,12,10,8,6,7,12,4,matched,0,per_role,40,79,40,79,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Master,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Master,Leader,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Newcomer,Follower,West Coast Swing,2026,15,12,10,8,6,7,12,4,matched,0,per_role,40,79,40,79,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Newcomer,Leader,West Coast Swing,2026,15,12,10,8,6,7,12,4,matched,0,per_role,40,79,40,79,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Novice,Follower,West Coast Swing,2026,20,16,14,12,10,10,15,5,matched,0,per_role,80,129,80,129,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Novice,Leader,West Coast Swing,2026,20,16,14,12,10,10,15,5,matched,0,per_role,80,129,80,129,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Sophisticated,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2386,282,German Open,2026,8,Sophisticated,Leader,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2644,384,Grand Party Sofia (GPS),2026,8,Advanced,Follower,West Coast Swing,2026,10,8,6,4,2,5,10,3,matched,0,per_role,20,39,20,39,f,2026-08-26 20:10:13.151042+00
2644,384,Grand Party Sofia (GPS),2026,8,Advanced,Leader,West Coast Swing,2026,6,4,3,2,1,0,5,2,matched,0,per_role,11,19,11,19,f,2026-08-26 20:10:13.151042+00
