event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Floorplay Swing Vacation,Floorplay Swing Vacation,Floorplay Swing Vacation,2024-12-27,2025-01-01,http://www.floorplayswingvacation.com,2025,1,2025-01|2024-12,day,wsdc_calendar,,d7ea6e5b66ee808f80f69ad7
Spotlight New Year's Celebration,Spotlight New Year's Celebration,Spotlight New Year's Celebration,2024-12-28,2025-01-01,http://www.spotlightnewyears.com,2025,1,2025-01|2024-12,day,wsdc_calendar,,37f0d3b6a65bdd5caba1fad9
SwingVester,SwingVester,SwingVester,2024-12-28,2025-01-02,http://www.swingvester.com,2025,1,2025-01|2024-12,day,wsdc_calendar,,694db6b691e4ee896107e301
Westie Gala,Westie Gala,Westie Gala,2024-12-28,2025-01-01,http://www.westiegala.com,2025,1,2025-01|2024-12,day,wsdc_calendar,,b4b6897b74fdabe19506df35
UCWDC Country Dance World Championship,UCWDC Country Dance World Championship,UCWDC Country Dance World Championship,2024-12-29,2025-01-05,https://ucwdc.org/worlds-home/,2025,1,2025-01|2024-12,day,wsdc_calendar,,8e85269b2d7a9013c8e0fff1
Countdown Swing Boston,Countdown Swing Boston,Countdown Swing Boston,2024-12-31,2025-01-05,http://Countdownswingboston.com,2025,1,2025-01|2024-12,day,wsdc_calendar,,a0afcd4cdb07272f2fbe5ed1
SwingCouver,SwingCouver,SwingCouver,2025-01-02,2025-01-05,http://www.swingcouver.com,2025,1,2025-01,day,wsdc_calendar,,233a9e489d566a80f6a2a4d9
BudaFest Open WCS Championships,BudaFest Open WCS Championships,BudaFest Open WCS Championships,2025-01-07,2025-01-12,http://wcs-budafest.com,2025,1,2025-01,day,wsdc_calendar,,2fca96d85474804e449d0ce6
Monterey Swing Fest,Monterey Swing Fest,Monterey SwingFest,2025-01-14,2025-01-19,http://Montereyswing.com,2025,1,2025-01,day,wsdc_calendar,,8f128ea2e7d263365f181c04
Austin Swing Dance Championships,Austin Swing Dance Championships,Austin Swing Dance Championships,2025-01-16,2025-01-19,https://austinswingdance.com,2025,1,2025-01,day,wsdc_calendar,,12925c154ab0fd4232e13ec0
Avignon City Swing,Avignon City Swing,Avignon City Swing,2025-01-17,2025-01-20,http://Www.avignoncityswing.com,2025,1,2025-01,day,wsdc_calendar,,e9b1efb503395b4dd16c9669
The Australian Classic West Coast Swing Dance Championships,The Australian Classic West Coast Swing Dance Championships (Trial Event),The Australian Classic West Coast Swing Dance Championships,2025-01-17,2025-01-19,http://www.dancewcsa.com.au,2025,1,2025-01,day,wsdc_calendar,trial,fd99c068d26c052b76f541ea
Derby City Swing,Derby City Swing,Derby City Swing,2025-01-23,2025-01-26,https://derbycityswing.com/,2025,1,2025-01,day,wsdc_calendar,,55fdfa1f8f24cfa29302a733
Swing Resolution,Swing Resolution,Swing Resolution,2025-01-23,2025-01-26,http://www.swingresolution.com,2025,1,2025-01,day,wsdc_calendar,,670ab174144c7ab4ba04159e
Freedom Swing Dance Challenge,Freedom Swing Dance Challenge,Freedom Swing Dance Challenge,2025-01-24,2025-01-26,https://freedomswingdance.com/,2025,1,2025-01,day,wsdc_calendar,,956f81b06d8189a3654712bc
Swing & Snow,Swing & Snow,Swing & Snow,2025-01-29,2025-02-02,http://swingandsnow.ru,2025,2,2025-02|2025-01,day,wsdc_calendar,,52dfefeecc25eecf12cc1237
Charlotte WestieFest,Charlotte WestieFest,Charlotte WestieFest,2025-01-30,2025-02-03,https://www.charlottewestiefest.com/,2025,2,2025-02|2025-01,day,wsdc_calendar,,400ce11e79f2e56cfc7b0fc0
Paris Swing Classic,Paris Swing Classic,Paris Westie Fest,2025-01-30,2025-02-02,https://www.parisswingclassic.com/,2025,2,2025-02|2025-01,day,wsdc_calendar,,ef5d2d70e484e1d42ba812de
Swingtzerland,Swingtzerland,Swingtzerland,2025-02-06,2025-02-09,https://swingtzerland.com/,2025,2,2025-02,day,wsdc_calendar,,c1e57ec15560a1650963acba
Trinity Swing,Trinity Swing,Trinity Swing,2025-02-07,2025-02-09,https://trinityswing.com/,2025,2,2025-02,day,wsdc_calendar,,dcf79046fc2fec5fc917a1b2
WesterOz Swing,WesterOz Swing,WesterOz Swing,2025-02-07,2025-02-09,https://www.magneticdance.com.au/westeroz,2025,2,2025-02,day,wsdc_calendar,,9c065915c7f650a487617f8d
Capital Swing Dance Convention,Capital Swing Dance Convention,Capital Swing Dance Convention,2025-02-13,2025-02-16,http://www.CapitalSwingConvention.com,2025,2,2025-02,day,wsdc_calendar,,71beec665732608027fdbcc5
Valentine Swing,Valentine Swing,Valentine Swing,2025-02-14,2025-02-16,http://www.valentineswing.dance,2025,2,2025-02,day,wsdc_calendar,,257a00691ec8542eb9c7057d
Arousa Westie Fest,Arousa Westie Fest,Arousa Westie Fest,2025-02-20,2025-02-23,http://arousawestiefest.com,2025,2,2025-02,day,wsdc_calendar,,8d5e2e4c607fbad708180edd
Rose City Swing,Rose City Swing,Rose City Swing,2025-02-20,2025-02-23,https://rosecityswing.com,2025,2,2025-02,day,wsdc_calendar,,8261759c696723754c16ec14
Swing Crush,Swing Crush,Swing Crush,2025-02-20,2025-02-23,https://swingcrush.com,2025,2,2025-02,day,wsdc_calendar,,eabca3d85130f79d43b78e9e
Winter Coast Swing,Winter Coast Swing,Winter Coast Swing,2025-02-20,2025-02-23,https://www.wintercoastswing.com,2025,2,2025-02,day,wsdc_calendar,,dcdf39eb2b3472228cab9405
Madjam Mid-Atlantic Dance Jam,Madjam Mid-Atlantic Dance Jam (On Hiatus),Mid-Atlantic Dance Jam,2025-02-27,2025-03-03,http://www.atlanticdancejam.com,2025,3,2025-03|2025-02,day,wsdc_calendar,hiatus,b1b464fe68956c7d4120c8a0
Euro Dance Festival,Euro Dance Festival,Euro Dance Festival,2025-03-04,2025-03-09,https://www.euro-dance-festival.com/rust/,2025,3,2025-03,day,wsdc_calendar,,76444a9061772d548b369345
High Desert Dance Classic,High Desert Dance Classic,High Desert Dance Classic,2025-03-07,2025-03-09,http://www.highdesertdanceclassic.com,2025,3,2025-03,day,wsdc_calendar,,26d1d370437afe6c8d8481fc
