id,name,location,url,date,parsed_date,event_year,event_month,event_year_month
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1991,1991-07-01,1991,7,1991-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1992,1992-07-01,1992,7,1992-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1993,1993-07-01,1993,7,1993-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1994,1994-07-01,1994,7,1994-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1995,1995-07-01,1995,7,1995-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1996,1996-07-01,1996,7,1996-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1997,1997-07-01,1997,7,1997-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1998,1998-07-01,1998,7,1998-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 1999,1999-07-01,1999,7,1999-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2000,2000-07-01,2000,7,2000-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2001,2001-07-01,2001,7,2001-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2002,2002-07-01,2002,7,2002-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2003,2003-07-01,2003,7,2003-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2004,2004-07-01,2004,7,2004-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2005,2005-07-01,2005,7,2005-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2006,2006-07-01,2006,7,2006-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2007,2007-07-01,2007,7,2007-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2008,2008-07-01,2008,7,2008-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2009,2009-07-01,2009,7,2009-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2010,2010-07-01,2010,7,2010-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2011,2011-07-01,2011,7,2011-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2012,2012-07-01,2012,7,2012-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2013,2013-07-01,2013,7,2013-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2014,2014-07-01,2014,7,2014-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2015,2015-07-01,2015,7,2015-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2016,2016-07-01,2016,7,2016-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2017,2017-07-01,2017,7,2017-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2018,2018-07-01,2018,7,2018-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2019,2019-07-01,2019,7,2019-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2022,2022-07-01,2022,7,2022-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2023,2023-07-01,2023,7,2023-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2024,2024-07-01,2024,7,2024-07
1,4TH of July Convention,"Phoenix, AZ, United States",http://phoenix4thofjuly.com,July 2025,2025-07-01,2025,7,2025-07
2,4TH of July Swing Bash,"Ft. Lauderdale, FL",,July 1997,1997-07-01,1997,7,1997-07
3,American Lindy Hop Championships,"Stamford, CT",,October 2000,2000-10-01,2000,10,2000-10
3,American Lindy Hop Championships,"Stamford, CT",,October 2001,2001-10-01,2001,10,2001-10
3,American Lindy Hop Championships,"Stamford, CT",,October 2003,2003-10-01,2003,10,2003-10
4,American Swing Dance Championships,"New York, NY",,October 1994,1994-10-01,1994,10,1994-10
4,American Swing Dance Championships,"New York, NY",,October 1995,1995-10-01,1995,10,1995-10
4,American Swing Dance Championships,"New York, NY",,October 1996,1996-10-01,1996,10,1996-10
4,American Swing Dance Championships,"New York, NY",,October 1997,1997-10-01,1997,10,1997-10
4,American Swing Dance Championships,"New York, NY",,October 1998,1998-10-01,1998,10,1998-10
5,Bakersfield Swing Bash,"Bakersfield, CA",,August 1998,1998-08-01,1998,8,1998-08
6,Bay Swingers,"San Francisco, CA",,February 1992,1992-02-01,1992,2,1992-02
6,Bay Swingers,"San Francisco, CA",,February 1993,1993-02-01,1993,2,1993-02
6,Bay Swingers,"San Francisco, CA",,February 1994,1994-02-01,1994,2,1994-02
6,Bay Swingers,"San Francisco, CA",,February 1995,1995-02-01,1995,2,1995-02
7,Boogie & Blues,"Long Beach, CA",,October 1995,1995-10-01,1995,10,1995-10
7,Boogie & Blues,"Long Beach, CA",,October 1996,1996-10-01,1996,10,1996-10
