rules_version,valid_from,valid_to,tier_basis,min_role_competitors,points_depth,inherits_from,source_url,edition_source,notes,tier,min_competitors,max_competitors,prelim_rounds,finalist_points,definition_source,points_1st,points_2nd,points_3rd,points_4th,points_5th
2002,2002-01-01,2004-01-03,none,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC-Points-Registry-2002.pdf,pdf_page:WSDC-Points-Registry-2002.pdf#1,Flat scale; no tiers. Finalists (beyond top 5) receive 1 point.,0,5,,1,1,pdf_page:WSDC-Points-Registry-2002.pdf#1,10,6,4,3,2
2004,2004-01-04,2006-12-31,none,5,5,2002,https://wsdc-analytics.github.io/static/rules/WSDC-Points-Registry-2004.pdf,pdf_page:WSDC-Points-Registry-2004.pdf#1,Same placement points as 2002; clarified finals-only and <5 couples rules.,0,5,,1,1,inherits:2002,10,6,4,3,2
2007,2007-01-01,2008-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2007.pdf,pdf_page:WSDC Points Registry Document_2007.pdf#1,"First Tier system (1-3); counted by couples = min(leaders, followers).",1,5,15,1,0,pdf_page:WSDC Points Registry Document_2007.pdf#1,8,6,4,2,1
2007,2007-01-01,2008-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2007.pdf,pdf_page:WSDC Points Registry Document_2007.pdf#1,"First Tier system (1-3); counted by couples = min(leaders, followers).",2,16,39,2,1,pdf_page:WSDC Points Registry Document_2007.pdf#1,10,8,6,4,2
2007,2007-01-01,2008-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2007.pdf,pdf_page:WSDC Points Registry Document_2007.pdf#1,"First Tier system (1-3); counted by couples = min(leaders, followers).",3,40,,3,1,pdf_page:WSDC Points Registry Document_2007.pdf#1,12,10,8,6,4
2009,2009-01-01,2010-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2009.pdf,pdf_page:WSDC Points Registry Document_2009.pdf#1,Tier 1 reduced; Tier 3 increased. Still couples / smaller-role basis.,1,5,15,1,0,pdf_page:WSDC Points Registry Document_2009.pdf#1,5,4,3,2,1
2009,2009-01-01,2010-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2009.pdf,pdf_page:WSDC Points Registry Document_2009.pdf#1,Tier 1 reduced; Tier 3 increased. Still couples / smaller-role basis.,2,16,39,2,1,pdf_page:WSDC Points Registry Document_2009.pdf#1,10,8,6,4,2
2009,2009-01-01,2010-12-31,smaller_role,5,5,,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2009.pdf,pdf_page:WSDC Points Registry Document_2009.pdf#1,Tier 1 reduced; Tier 3 increased. Still couples / smaller-role basis.,3,40,,3,1,pdf_page:WSDC Points Registry Document_2009.pdf#1,15,12,10,8,6
2011,2011-01-01,2015-06-30,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2011.pdf,pdf_page:WSDC Points Registry Document_2011.pdf#1,Same chart as 2009; Tier now computed separately per role.,1,5,15,1,0,inherits:2009,5,4,3,2,1
2011,2011-01-01,2015-06-30,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2011.pdf,pdf_page:WSDC Points Registry Document_2011.pdf#1,Same chart as 2009; Tier now computed separately per role.,2,16,39,2,1,inherits:2009,10,8,6,4,2
2011,2011-01-01,2015-06-30,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/WSDC%20Points%20Registry%20Document_2011.pdf,pdf_page:WSDC Points Registry Document_2011.pdf#1,Same chart as 2009; Tier now computed separately per role.,3,40,,3,1,inherits:2009,15,12,10,8,6
2015,2015-07-01,2017-12-31,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/2015-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2015-WSDC-Registry-Event-Rules-Combined.pdf#1,Combined Event Rules + Points Registry; Chart unchanged from 2009/2011.,1,5,15,1,0,inherits:2009,5,4,3,2,1
2015,2015-07-01,2017-12-31,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/2015-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2015-WSDC-Registry-Event-Rules-Combined.pdf#1,Combined Event Rules + Points Registry; Chart unchanged from 2009/2011.,2,16,39,2,1,inherits:2009,10,8,6,4,2
2015,2015-07-01,2017-12-31,per_role,5,5,2009,https://wsdc-analytics.github.io/static/rules/2015-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2015-WSDC-Registry-Event-Rules-Combined.pdf#1,Combined Event Rules + Points Registry; Chart unchanged from 2009/2011.,3,40,,3,1,inherits:2009,15,12,10,8,6
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,1,5,10,1,0,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,3,2,1,0,0
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,2,11,19,2,0,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,6,4,3,2,1
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,3,20,39,2,1,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,10,8,6,4,2
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,4,40,79,3,1,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,15,12,10,8,6
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,5,80,129,3,2,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,20,16,14,12,10
2018,2018-01-01,2018-12-31,per_role,5,5,,https://wsdc-analytics.github.io/static/rules/2018-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,Expanded to six Tiers; rebuilt Points Award per Tier chart.,6,130,,4,2,pdf_page:2018-WSDC-Registry-Event-Rules-Combined.pdf#1,25,22,18,15,12
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,1,5,10,1,0,inherits:2018,3,2,1,0,0
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,2,11,19,2,0,inherits:2018,6,4,3,2,1
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,3,20,39,2,1,inherits:2018,10,8,6,4,2
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,4,40,79,3,1,inherits:2018,15,12,10,8,6
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,5,80,129,3,2,inherits:2018,20,16,14,12,10
2019,2019-01-01,2019-12-31,per_role,5,5,2018,https://wsdc-analytics.github.io/static/rules/2019-WSDC-Registry-Event-Rules-Combined.pdf,pdf_page:2019-WSDC-Registry-Event-Rules-Combined.pdf#1,,6,130,,4,2,inherits:2018,25,22,18,15,12
