year,start_date,original_date,event_name,status_event,event_location,country,confirmed,canceled,link,continent,Latitude,Longitude
2023,2023-12-07,"Dec 7 - 10, 2023",Berlin Swing Revolution,Registry Event,"Berlin, Germany",Germany,True,False,https://berlinswingrevolution.com,EU,52.5170365,13.3888599
2023,2023-12-07,"Dec 7 - 10, 2023",Swingtimate (On Hiatus),Registry Event,"Southport, Australia",Australia,True,True,https://rawconnection.com.au/swingtimate/,OC,-27.9687807,153.4066696
2023,2023-12-15,"Dec 15 - 18, 2023",Global Grand Prix - West Coast Swing Reunion,Registry Event,"Toulouse-Labege, France",France,True,False,http://www.globalgrandprixwcs.com,EU,43.5517979,1.5100679
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,Spotlight New Year's Celebration,Registry Event,"Nashville, TN",United States,True,False,http://www.spotlightnewyears.com,NA,36.1622767,-86.7742984
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,SwingCouver,Registry Event,"Vancouver, WA",United States,True,False,http://www.swingcouver.com,NA,45.6306954,-122.6744557
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,Countdown Swing Boston,Registry Event,"Mansfield, MA",United States,True,False,https://countdownswingboston.com/,NA,42.0334326,-71.2189405
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,Floor Play Swing Vacation,Registry Event,"Orlando, FL",United States,True,False,https://floorplayswingvacation.com/,NA,28.5421109,-81.3790304
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,SwingVester,Registry Event,"Wels, Austria",Austria,True,False,http://www.swingvester.com,EU,48.1565472,14.0243752
2023,2023-12-28,"Dec 28 - 31, 2023",New Year's Swing Fling (On Hiatus),Registry Event,"London, UK",United Kingdom,True,True,http://www.nyswingfling.com,EU,51.5074456,-0.1277653
2023,2023-12-28,Dec 28 2023 - Jan 1 2024,Westie Gala,Registry Event,"Stockholm, Sweden",Sweden,True,False,http://www.westiegala.com,EU,59.3251172,18.0710935
2023,2023-12-31,Dec 31 2023 - Jan 7 2024,UCWDC Country Dance World Championships,Registry Event,"Phoenix, AZ",United States,True,False,https://ucwdc.org/worlds-home/,NA,33.4484367,-112.074141
2024,2024-01-03,"Jan 3 - 7, 2024",BudaFest Open WCS Championships,Registry Event,"Budapest, Hungary",Hungary,True,False,http://wcs-budafest.com,EU,47.4978918,19.0401609
2024,2024-01-10,"Jan 10 - 15, 2024",Monterey Swing Fest 2024,Registry Event,"Monterey, CA",United States,True,False,https://www.montereyswing.com/,NA,36.2231079,-121.387742
2024,2024-01-11,"Jan 11 - 14, 2024",Austin Swing Dance Championships (ASDC),Registry Event,"Austin, TX",United States,True,False,http://austinswingdance.com,NA,30.2711286,-97.7436995
