year,start_date,original_date,event_name,status_event,event_location,country,confirmed,canceled,link,continent,Latitude,Longitude
2025,23.04.2025,"Apr 23 - 27, 2025",SwingIN Festival,Registry Event,"Bonn, Nordrhein-Westphalen, Germany",Germany,True,False,http://www.tanzhaus-bonn.de/swingin-festival,EU,,
2025,24.04.2025,"Apr 24 - 28, 2025",Detonation Dance,Registry Event,"Manchester, Manchester, United Kingdom",United Kingdom,True,False,http://www.DetonationDance.com,EU,53.4626401,-2.2372955
2025,24.04.2025,"Apr 24 - 27, 2025",Swingover,Registry Event,"Orlando, FL, USA",United States,True,False,http://www.swingoverevent.com,NA,28.5421109,-81.3790304
2025,24.04.2025,"Apr 24 - 27, 2025",HONEY FEST,Registry Event,"Ufa, Bashkortostan Republic, Russia",Russian Federation,True,False,https://honeyfest-ufa.ru/,EU,54.7261409,55.947499
2025,30.04.2025,"Apr 30 - May 4, 2025",Spring Time Swing,Registry Event,"Deutschland , Germany",Germany,True,False,https://springtimeswing.com/,EU,51.1638175,10.4478313
2025,01.05.2025,"May 1 - 5, 2025",Swing Dance America,Registry Event,"Lake Geneva, Wisconsin",United States,True,False,https://www.swingdanceamerica.com/,NA,42.5918039,-88.4345369
2025,01.05.2025,"May 1 - 4, 2025",BeeMAD,Registry Event,"Madrid, Spain",Spain,True,False,https://beemadwcs.com,EU,40.4167047,-3.7035825
2025,01.05.2025,"May 1 - 5, 2025",Nordic WCS Championships,Registry Event,"Stockholm, Stockholm, Sweden",Sweden,True,False,http://www.nordicwcschamps.com,EU,59.3251172,18.0710935
2025,01.05.2025,"May 1 - 4, 2025",Swingin' Into Spring 2025,Registry Event,"Windsor Locks, CT",United States,True,False,http://www.sis.djkenm.com,NA,41.9281305,-72.643631
2025,08.05.2025,"May 8 - 12, 2025",SOM - Swing of Music,Registry Event,"Wels, Austria",Austria,True,False,https://www.swingofmusic.com/,EU,48.1565472,14.0243752
2025,08.05.2025,"May 8 - 11, 2025",Med in Swing,Trial Event,"Toulon, France",Russian Federation,True,False,http://www.medinswing.rocks,EU,43.1257311,5.9304919
2025,09.05.2025,"May 9 - 11, 2025",Swingsation,Registry Event,"Queensland, Australia",Australia,True,False,https://rawconnection.com.au/swingsation/,OC,-22.1646782,144.5844903
2025,15.05.2025,"May 15 - 18, 2025",SOswing,Registry Event,"Ashland, OR",United States,True,False,http://soswingdance.com,NA,42.1972487,-122.7153995
2025,15.05.2025,"May 15 - 18, 2025",Show Me Showdown,Registry Event,"St. Louis, MO",United States,True,False,http://TheShowMeShowdown.com,NA,38.6280278,-90.1910154
2025,16.05.2025,"May 16 - 19, 2025",Canadian Swing Championships,Registry Event,"Montreal, Quebec, Canada",Canada,True,False,http://canadianswingchampionships.com,NA,45.5031824,-73.5698065
2025,16.05.2025,"May 16 - 18, 2025",Texas Classic,Registry Event,"Austin, Texas, USA",United States,True,False,http://www.thetexasclassic.com,NA,30.2711286,-97.7436995
2025,16.05.2025,"May 16 - 18, 2025",Dance Jam Jack & Jill Weekend,Trial Event,"Washington, DC",United States,True,False,http://www.dancejamproductions.com,NA,38.8950368,-77.0365427
2025,22.05.2025,"May 22 - 26, 2025",USA Grand National Dance Championships,Registry Event,"Atlanta, GA",United States,True,False,http://www.usagrandnationals.com,NA,33.7489924,-84.3902644
2025,23.05.2025,"May 23 - 25, 2025",Nanaimo Dance Fusion,Trial Event,"Nanaimo, British Columbia, Canada",Canada,True,False,http://www.nanaimodancefusion.ca,NA,49.163877,-123.938122
2025,28.05.2025,"May 28 - Jun 2, 2025",French Open WCS,Registry Event,"Paris, france",France,True,False,http://www.fowcs.com,EU,48.8588897,2.320041
2025,29.05.2025,"May 29 - Jun 1, 2025",Michigan Classic,Registry Event,"Detroit, MI",United States,True,False,http://www.michiganclassicswing.com,NA,42.3315509,-83.0466403
